,relationships,funding_rounds,funding_total_usd,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
39,18,7,29915001,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,acquired
40,26,4,33000000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1,acquired
41,9,2,125000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,acquired
42,7,2,4000000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,closed
43,10,1,10000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,acquired
44,25,1,6000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1,acquired
45,4,1,25000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,acquired
46,2,3,3750000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,acquired
47,9,1,3000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
48,6,2,1155000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,acquired
49,11,1,10000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,acquired
50,5,1,3000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
51,4,2,11500000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,acquired
52,12,1,5000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,acquired
53,9,2,29000000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,1,acquired
54,37,6,34700000,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,1,acquired
55,0,2,12050000,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,closed
56,13,3,12000000,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,acquired
57,18,1,5500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,1,acquired
58,10,3,24000000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,acquired
59,6,2,10000000,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,acquired
60,10,3,19009671,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1,closed
61,6,1,5000000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,closed
62,2,5,18914576,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1,acquired
63,0,1,4000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,closed
64,5,3,2030882,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,acquired
65,4,1,5000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1,acquired
66,5,1,20500000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,closed
67,4,2,13250000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,acquired
68,7,1,12000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,acquired
69,9,3,11489687,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,acquired
70,15,1,4000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,acquired
71,3,1,355000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,acquired
72,10,2,118000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,acquired
73,17,4,40400000,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,acquired
74,1,1,3000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,closed
75,2,2,19700000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,closed
76,0,2,17800000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,closed
77,12,3,57500000,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,1,acquired
78,10,3,17200000,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,acquired
79,4,7,457282,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,closed
80,11,4,18500000,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,acquired
81,2,1,12000000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,closed
82,5,2,510000000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,closed
83,3,2,18250000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,acquired
84,13,4,41500019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,acquired
85,1,1,1000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,closed
86,7,1,5000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
87,2,3,42700000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,closed
88,7,1,12000000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,1,closed
89,5,2,22300000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,1,acquired
90,5,2,10000000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,1,acquired
91,1,3,15564591,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,1,closed
92,7,1,500000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,acquired
93,24,2,8950000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,1,acquired
94,8,4,55350000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4.0,1,acquired
95,1,1,4000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,closed
96,3,5,10764323,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,acquired
97,1,1,5500000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1,closed
98,7,1,400000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,1,acquired
99,3,3,54000000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,1,closed
100,2,1,32000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,closed
101,1,1,13000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,acquired
102,5,3,12500000,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,acquired
103,16,4,38064570,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3.0,1,acquired
104,21,2,6000000,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,acquired
105,4,2,5000000,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,closed
106,9,3,59000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,1,acquired
107,2,1,1000000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,closed
108,5,1,600000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,1,acquired
109,0,2,125000000,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,closed
110,11,2,2750000,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,acquired
111,1,2,30000000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,acquired
112,0,1,7000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,closed
113,10,1,6100000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,1,acquired
114,12,3,2100000,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4.0,1,closed
115,10,2,2565000,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5,1,acquired
116,0,1,2000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,closed
117,3,3,22400000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3.6667,1,acquired
118,12,1,6250000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,0,acquired
119,4,1,575000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0,acquired
120,1,2,53000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,closed
121,6,2,9500000,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.5,1,acquired
122,7,2,3500000,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.0,1,closed
123,14,3,10500000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6.3333,1,acquired
124,14,4,34250000,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2.25,1,acquired
125,2,5,85381111,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4.6667,1,acquired
126,6,3,100000000,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.5,1,acquired
127,3,2,125000,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.0,1,closed
128,2,2,10600000,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.0,1,closed
129,2,3,26100000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.5,1,acquired
130,2,1,30000000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,acquired
131,6,3,132885,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,1,closed
132,9,3,9500000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.0,1,acquired
133,9,1,18000000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,1,acquired
134,4,1,690000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,1,closed
135,1,3,25131611,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1,acquired
136,1,1,2000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1,closed
137,4,3,78750000,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3.5,1,acquired
138,27,5,48500000,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.5,1,acquired
139,12,1,15000000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.0,0,closed
140,13,5,74000000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5.3333,1,acquired
141,6,2,15000000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,1,acquired
142,8,3,45000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0,closed
143,4,1,4410000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
144,9,2,4500000,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,acquired
145,11,3,11040000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.5,1,acquired
146,6,1,1600000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.0,1,acquired
147,3,2,9000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,acquired
148,4,3,3282327,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,acquired
149,5,2,24700000,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0,1,acquired
150,2,2,8800000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,closed
151,1,1,1700000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,closed
152,1,1,20000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,closed
153,10,2,11500000,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,acquired
154,12,7,98170000,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,5.2,1,closed
155,2,1,1350000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,1,acquired
156,17,1,940261,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
157,12,2,4000000,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0,1,acquired
158,5,1,5000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,closed
159,3,1,20000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,closed
160,5,1,12500000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,acquired
161,0,5,7228704,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2.0,1,closed
162,5,2,55000000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4.0,1,closed
163,5,4,15180000,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1.0,1,acquired
164,4,2,30000000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,closed
165,11,2,14500000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.5,1,acquired
166,6,1,6500000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.0,1,acquired
167,2,1,15000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,closed
168,5,5,4705910,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3.0,1,acquired
169,6,1,3000000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1,acquired
170,30,6,125250000,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3.5,1,acquired
171,8,4,1449998,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,1,closed
172,5,2,6000000,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6.0,1,acquired
173,7,3,28200000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3.0,1,acquired
174,5,2,14000000,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,acquired
175,14,1,3000000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,closed
176,6,2,2238055,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,closed
177,5,2,5200000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,closed
178,4,1,75000000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0,0,acquired
179,13,4,24500000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.5,1,closed
180,3,3,4476171,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2.0,1,closed
181,21,3,10400001,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.0,1,acquired
182,8,3,68400000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,6.5,1,acquired
183,13,2,15200000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,acquired
184,2,2,890000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,1,closed
185,0,1,2600000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,closed
186,7,1,1226270,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,acquired
187,5,2,9000000,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,acquired
188,4,4,7210210,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0,acquired
189,15,2,15700000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.0,1,acquired
190,4,2,15050000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.5,1,acquired
191,5,2,3500000,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.0,1,acquired
192,2,2,43000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1,closed
193,7,2,57000000,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.5,1,acquired
194,8,1,1300000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,1,acquired
195,15,4,69750000,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,5.0,1,acquired
196,16,2,14500000,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2.0,1,acquired
197,2,2,48000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6.0,1,closed
198,3,2,3508462,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3.0,1,closed
199,10,3,19500000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,acquired
200,5,1,3750000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,acquired
201,1,1,45000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,closed
202,8,4,32500000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2.75,1,closed
203,4,2,4900000,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1.5,1,acquired
204,4,2,12000000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2.0,1,closed
205,12,3,7175000,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2.6667,1,acquired
206,3,2,4700000,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,1,closed
207,3,1,120000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.0,0,closed
208,10,3,10000000,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.6667,0,acquired
209,0,4,39000000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3.0,0,closed
210,3,2,16100000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.5,1,acquired
211,4,2,3300000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2.0,1,acquired
212,6,1,750000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9.0,1,acquired
213,0,2,1000000,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0,0,closed
214,3,1,7410000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.0,1,closed
215,5,3,52800000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5.3333,1,acquired
216,33,3,37000000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.3333,1,closed
217,14,3,14229998,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,1,acquired
218,7,2,3000000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,acquired
219,10,1,20000000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0,acquired
220,6,2,2000000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.5,1,acquired
221,3,2,19900000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.0,1,acquired
222,6,1,1500000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,closed
223,4,1,325000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.0,0,closed
224,16,1,3500000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0,1,closed
225,7,4,30000000,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2.0,1,closed
226,1,1,50000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.0,1,acquired
227,5,1,2000000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.0,1,acquired
228,25,6,72000000,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,2.3333,1,acquired
229,4,3,27690547,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4.5,1,acquired
230,32,1,9000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,1,closed
231,12,2,7500000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.5,1,acquired
232,9,2,10000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,acquired
233,7,4,5965000,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0,acquired
234,9,1,4000000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,acquired
235,2,1,5000000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,0,closed
236,15,1,11500000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,1,acquired
237,2,2,1050000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,closed
238,13,2,5500000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,acquired
239,17,3,5000000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.6667,1,acquired
240,11,2,3700000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,closed
241,4,2,7000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,closed
242,14,2,32000000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3.5,1,closed
243,8,3,7900000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,acquired
244,16,5,80000000,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2.25,1,acquired
245,1,1,5000000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,closed
246,5,2,2100000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.5,1,acquired
247,6,4,22250000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2.5,1,acquired
248,6,2,1975000,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3.0,0,acquired
249,0,1,1000000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,acquired
250,0,1,35000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,closed
251,12,7,88651133,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3.1667,1,acquired
252,3,1,26000000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,acquired
253,3,1,100000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0,closed
254,6,1,5000000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
255,5,2,7300000,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3.0,1,closed
256,8,3,64080000,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4.0,1,acquired
257,8,2,5800000,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,acquired
258,6,4,89500000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1.0,1,closed
259,11,4,23350000,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,3.0,1,acquired
260,7,2,13500000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.5,1,acquired
261,13,2,24500000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5,1,acquired
262,2,1,10000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,closed
263,3,1,8500000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,closed
264,0,1,6000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,0,closed
265,3,1,2000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,acquired
